ID,UTMn,UTMe,Height_CGVD2013,Height_Tidal,Lat,Lon
nb_martone_high1,5724176.248,559817.7193,0.6792,3.3192,51.6653814,-128.13509
nb_martone_high2,5724191.497,559811.2102,1.3705,4.0105,51.6655192,-128.13518
nb_martone_high3,5724199.388,559811.0162,1.8278,4.4678,51.6655902,-128.13518
nb_martone_mid1,5724176.247,559807.3969,0.2458,2.8858,51.6653825,-128.13524
nb_martone_mid2,5724186.953,559805.5799,0.4362,3.0762,51.6654789,-128.13526
nb_martone_low1,5724176.666,559803.3493,-0.6908,1.9492,51.6653867,-128.1353
5th_high0,5721424.733,558365.2417,0.746,3.386,51.6407966,-128.15655
5th_high15,5721415.217,558346.112,0.7568,3.3968,51.6407131,-128.15683
5th_high30,5721409.987,558339.9643,0.439,3.079,51.6406667,-128.15692
5th_mid0,5721426.757,558361.8463,-0.0212,2.6188,51.6408152,-128.1566
5th_mid30,5721417.075,558337.333,-0.1812,2.4588,51.6407307,-128.15695
5th_low0,5721431.22,558358.3849,-0.6829,1.9571,51.6408557,-128.15665
5th_low15,5721426.2,558340.287,-0.3857,2.2543,51.6408124,-128.15691
5th_low30,5721420.771,558336.6021,-0.6276,2.0124,51.640764,-128.15696
Meay_Lower_1,5723996.64,562442.613,-1.7008661,0.9391339,51.6634811,-128.09717
Meay_Mid_1,5723984.88,562429.798,-0.9037225,1.7362775,51.6633768,-128.09736
Meay_High_1,5723979.58,562416.271,-0.2784621,2.3615379,51.6633306,-128.09756
Meay_Lower_2,5723949.88,562450.236,-1.950572,0.689428,51.6630598,-128.09707
Meay_Mid_2,5723947.12,562438.284,-0.7675841,1.8724159,51.6630364,-128.09724
Meay_High_2,5723944.03,562423.941,-0.4136305,2.2263695,51.6630102,-128.09745
