taxon,X2012,X2013,X2014,X2015,X2016,X2017,X2018,X2019
<NA>,29,19,13,32,13,16,29,11
Acmaea.mitra,1,0,0,0,0,0,0,0
Acrochaetium.sp.,0,1,0,1,0,0,0,0
Acrosiphonia,29,41,42,21,13,30,30,36
Ahnfeltia.fastigiata,1,5,0,0,3,1,0,2
Alaria.marginata,41,44,36,30,11,24,25,32
Amphipoda,0,0,0,0,0,0,4,0
Amphiporus,9,0,0,0,0,0,0,0
Amphissa.sp.,1,0,0,0,0,0,0,0
Analipus.japonicus,5,5,10,5,4,1,7,2
Anemone,37,9,32,20,31,32,36,41
Antithamnion.defectum,1,2,0,1,2,2,0,0
Antithamnionella.pacifica,2,2,3,0,0,2,0,0
Bangia.sp.,1,0,0,1,0,0,3,0
Bare.rock,65,66,61,77,88,87,80,78
Barnacles,54,27,45,35,49,43,63,57
Bittium,1,0,0,0,0,0,0,0
Blidingia,1,0,7,4,3,2,1,5
Bossiella_articulate,26,35,30,41,42,43,43,35
Bossiella_crust,0,0,5,0,8,6,4,12
Bryozoan,7,6,1,5,1,0,1,4
Calliarthron.tuberculosum,0,9,0,4,1,3,1,3
Calliostoma,1,0,0,0,0,0,0,0
Callithamnion.pikeanum,25,22,13,21,25,27,24,19
Callophyllis.sp.,0,0,0,0,1,2,0,0
Ceramium.codicola,2,0,0,0,0,0,0,0
Ceramium.pacificum,5,8,5,9,15,6,16,5
Chaetomorpha.cannabina,0,0,0,0,2,0,1,0
Chamberlainium.tumidum,44,42,49,39,39,46,47,43
Chiharaea.bodegensis,0,0,0,1,0,0,0,0
Chiharaea.rhododactyla,0,0,4,1,0,5,0,0
Chiharaea.silvae,0,4,0,0,1,5,0,2
Chiton,17,0,12,6,0,0,2,2
Chlorostoma.sp.,6,0,5,4,7,1,12,5
Cladophora.columbiana,9,10,6,11,20,10,15,11
Cladophora.sericea,1,3,1,0,0,0,0,0
Clam,0,0,0,0,1,0,0,0
Codium.fragile,7,6,7,1,4,5,9,4
Codium.setchellii,5,4,3,3,4,3,4,4
Collinsiella.tuberculata,0,0,0,0,0,0,1,5
Colonial.Diatoms,0,0,0,2,3,2,0,2
Colpomenia.bullosa,0,0,0,2,0,11,4,4
Colpomenia.peregrina,0,0,0,3,0,0,4,4
Corallina,46,51,47,45,50,45,42,45
Costaria.costata,1,7,8,4,1,4,0,1
Cottoidea,5,0,0,0,0,0,1,2
Crab,0,0,0,1,3,1,15,1
Crusticorallina.muricata,0,0,0,0,3,2,0,8
Cryptochiton,0,0,0,1,0,1,0,3
Cryptosiphonia.woodii,20,14,31,21,14,22,28,21
Cucumaria.miniata,0,1,0,0,0,0,0,0
Cumathamnion.decipiens,1,4,0,1,0,3,2,1
Dermasterias,0,2,1,0,1,1,2,0
Desmarestia.aculeata,1,3,0,0,0,0,0,0
Desmarestia.ligulata,0,0,2,2,3,2,1,1
Dilsea.californica,6,3,7,7,4,11,9,7
Ectocarpus.commensalis,0,0,0,6,2,2,7,9
Ectocarpus.siliculosus,0,0,0,0,0,0,1,0
Ectocarpus.sp.,0,0,2,0,0,0,0,0
Egregia.menziesii,5,11,8,8,10,6,3,5
Elachista.fucicola,23,33,17,11,2,3,13,1
Endocladia.muricata,48,37,47,44,45,44,46,46
Erythrotrichia.carnea,0,0,0,2,0,4,1,0
Farlowia.mollis,1,16,3,5,10,10,10,3
Fauchea.sp.,0,0,0,0,1,0,0,0
Fish,0,0,0,0,0,0,1,1
Flustralidra,12,0,0,0,0,0,0,2
Fucus.distichus,65,53,68,57,52,45,63,54
Gammaridae,7,0,0,0,0,0,1,0
Gloiopeltis.furcata,21,26,22,19,26,11,20,19
Gobiesox,2,0,0,0,0,0,0,0
Halichondria,2,0,0,0,1,0,0,0
Haliclona,1,0,0,0,0,0,0,0
Halosaccion.glandiforme,44,40,53,29,28,26,38,47
Haplogaster.sp.,1,0,0,0,0,0,0,0
Hedophyllum.nigripes,4,5,6,3,1,5,3,3
Hedophyllum.sessile,12,8,14,13,10,9,7,9
Hemigrapsis.sp.,4,0,0,0,1,0,0,0
Henricia,0,0,0,1,0,0,1,0
Herposiphonia.plumula,0,0,2,0,1,0,0,1
Hildenbrandia,80,65,81,69,76,76,81,77
Hydroid,3,1,0,0,0,0,1,1
Hymenena,16,19,17,16,19,16,19,14
Isopoda,0,0,5,2,0,1,10,4
Jingle,0,0,0,0,0,0,0,3
Johansenia.macmillanii,0,0,0,1,1,4,1,1
Katharina.tunicata,14,10,13,5,9,15,20,18
Kornmannia.leptoderma,0,1,0,0,0,0,0,0
Lacuna.sp.,1,0,0,0,0,0,0,0
Laminaria.setchellii,0,1,1,2,3,2,0,2
Laminaria.yezoensis,1,0,1,2,0,1,0,0
Leathesia.marina,15,9,32,25,10,21,29,14
Leptasterias.sp.,7,0,2,8,1,1,4,3
Ligia.sp.,2,0,0,0,0,0,0,0
Limpet,29,12,28,20,38,19,61,64
Lithophyllum,0,0,13,6,12,14,10,11
Lithothamnion.glaciale,0,0,0,0,0,0,4,0
Lithothamnion.phymatodeum,6,10,9,9,13,15,19,11
Littorina.scutulata,1,0,0,0,0,0,0,0
Littorina.sp.,35,2,11,9,8,6,21,29
Lomentaria.hakodatensis,2,3,1,1,2,0,0,3
Lophopanopeus.bellus,0,0,0,0,1,0,0,0
Lottia.sp.,36,0,0,0,0,0,0,0
Mastocarpus,60,57,60,65,41,40,55,46
Mazzaella.oregona,43,23,32,23,22,30,18,11
Mazzaella.parksii,2,7,1,0,0,0,0,2
Mazzaella.parvula,2,6,11,16,8,3,10,4
Mazzaella.splendens,18,13,16,13,19,11,13,17
Melanosiphon.intestinalis,0,4,0,0,0,1,6,1
Melobesia.sp.,0,0,0,2,4,1,0,2
Mesophyllum.vancouveriense,0,0,0,0,0,1,1,0
Microcladia.borealis,18,18,31,27,19,24,24,17
Monostroma.grevillei,0,3,0,0,0,0,0,0
Mopalia.sp.,0,1,0,0,2,0,3,3
Mytilus.sp.,13,3,4,8,18,24,24,17
Nemalion.helminthoides,10,2,2,9,5,2,11,0
Nemertea,0,0,0,0,0,0,7,2
Neogastroclonium.subarticulatum,6,11,6,7,10,8,9,6
Neopolyporolithon.reclinatum,7,12,8,5,7,9,9,9
Neorhodomela.aculeata,0,0,1,0,0,2,0,0
Neorhodomela.larix,19,11,15,13,15,16,16,14
Neorhodomela.oregona,3,0,0,2,0,1,0,0
Nereid,0,0,0,0,0,0,1,0
Nereocystis.luetkeana,0,0,0,1,2,1,2,1
Nucella,5,0,2,0,6,3,13,8
Nudipleura,1,0,0,0,1,0,0,0
Odonthalia.floccosa,18,17,11,11,10,14,13,13
Odonthalia.floccosa.f..comosa,0,0,0,0,0,1,1,1
Onchidella,3,0,1,0,3,1,1,1
Opuntiella.californica,0,4,0,0,0,0,0,0
Osmundea.spectabilis,2,6,3,3,5,3,4,0
Pagarus.sp.,26,3,1,3,2,1,8,5
Palmaria.hecatensis,10,10,8,3,6,2,4,9
Palmaria.mollis,2,12,2,3,2,0,1,1
Pentidotea.sp.,23,0,0,2,0,0,0,0
Petalonia.fascia,0,0,0,0,0,0,0,1
Petrocelis,40,49,63,52,61,63,27,27
Peyssonnelia.sp.,0,0,0,3,5,5,4,7
Pholidae,0,0,0,0,1,0,0,1
Phycodrys.sp.,0,0,0,0,0,1,0,0
Phyllospadix.sp.,10,17,14,16,15,18,20,16
Pisaster.ochraceus,16,7,10,5,5,9,13,16
Pleonosporium.vancouverianum,0,3,0,0,1,0,0,0
Plocamium.pacificum,0,0,1,1,0,0,1,0
Plocamium.violaceum,25,27,21,29,37,32,25,15
Pododesmus.sp.,0,0,0,0,1,0,0,0
Pollicipes.polymerus,2,0,1,1,0,1,3,4
Polychaete,0,0,0,0,1,0,0,0
Polyneura.latissima,15,21,13,14,21,14,12,11
Polysiphonia,9,13,6,7,6,10,18,21
Prionitis,9,11,3,4,10,10,7,5
Pseudolithophyllum.muricatum,0,0,9,1,0,0,0,0
Pterocladiella.caloglossoides,0,0,1,0,1,0,1,0
Pterygophora.californica,0,0,0,0,1,1,0,0
Ptilota,17,17,13,18,14,17,12,6
Pugetia.firma,1,0,0,0,0,0,0,0
Pugettia,3,2,0,1,0,0,0,0
Pycnopodia.helianthoides,1,2,0,1,0,0,0,0
Pylaiella.littoralis,0,5,1,0,0,0,1,0
Pyropia,47,57,62,47,37,58,53,68
Ralfsioid,7,8,4,33,11,7,15,7
Rhizoclonium.tortuosum,1,2,1,0,0,0,1,0
Rhodochorton.purpureum,2,1,3,0,0,0,0,0
Rhodymenia.sp.,0,0,0,1,0,0,0,0
Riterella.pulchra,0,0,0,1,0,0,0,0
Salishia.firma,1,4,3,2,4,0,0,0
Sand,0,6,0,0,0,0,0,0
Savoiea.robusta,8,15,13,9,16,19,21,13
Schizymenia.pacifica,0,1,7,7,4,7,2,7
Scytosiphon.dotyi,1,6,1,3,1,2,5,3
Scytosiphon.lomentaria,2,5,1,1,0,7,14,4
Sea.star,0,0,5,0,0,0,0,0
Smithora.naiadum,0,2,0,0,0,4,2,1
Snail,1,0,0,0,1,6,6,10
Soranthera.ulvoidea,1,2,1,0,0,0,0,0
Sphacelaria.rigidula,0,2,0,1,0,0,1,0
Strongylocentrotus.droebachiensis,0,0,0,0,0,0,1,1
Strongylocentrotus.purpuratus,0,1,0,1,0,0,5,5
Styela.sp.,0,1,0,2,0,0,0,0
Tegula.sp.,1,3,0,0,0,0,0,11
Tiffaniella.snyderae,0,0,0,0,1,0,0,0
Tokidadendron.bullatum,3,0,3,2,1,7,3,1
Tonicella.lineata,1,0,0,0,0,0,0,0
Tonicella.sp.,2,5,0,0,5,6,10,6
Tube.worms,9,2,0,2,5,3,11,9
Tunicata/Porifera,10,3,3,1,0,5,5,6
Ulothrix-Urospora.sp.,0,1,0,0,0,0,0,0
Ulva,48,47,52,53,36,32,39,39
Unknown.crust,4,2,0,0,2,4,0,5
Worm,11,0,0,0,0,0,0,0
