survey.year,year,month,temp_pine,temp_mccinnis,temp_addenbroke,sal_pine,sal_mccinnis,sal_addenbroke,pca1,pca2,pca3,pca4
2010,2009.4166666666667,6.5,-0.0245389383720541,0.10317870415172509,0.5098029444914004,-0.198873007499721,-0.6166727880434758,NA,-0.14257326681833044,-0.8679559642857572,0.2678756080964164,0.4728080565392839
2011,2010.4166666666667,6.5,-0.08314128861382483,-0.8169871835597077,-0.3100534350702074,-0.2195537909089354,-0.5460734986067656,NA,-1.1498077086178675,-0.7504717768305986,0.047215872257279544,0.3608635616705633
2012,2011.4166666666667,6.5,-0.38648347109801046,-0.6956146962766029,-0.3059083260697035,-0.29238255073117764,-0.9052731158223436,NA,-1.2271751792916525,-0.91159402268910394,-0.14302569516585245,0.44698923983370387
2013,2012.4166666666667,6.5,-0.11356664133325732,-1.2133399623897974,0.15219679955488824,0.024810583633231964,-1.3670010308292238,NA,-1.2144893841757476,-1.399429371577034,1.074437411394036,0.5445700023019894
2014,2013.4166666666667,6.5,0.21879395856971384,-0.28903019582375594,0.5224096836303974,0.24904336322324028,-0.26852968156132534,NA,-0.10797137101890715,0.1926969505763953,1.1261259797020293,0.3262361693123626
2015,2014.4166666666667,6.5,1.6436050542940635,1.695683528048514,1.5354345681513886,-0.13449586522931956,-1.3977925758846788,NA,2.855275770288703,-0.7544760095810664,0.5477244695531653,-0.49672531896341543
2016,2015.4166666666667,6.5,1.6573518204785094,1.4908915800946079,1.4381921637945978,0.06801326420372078,-0.9849238390750763,NA,2.733477686887688,0.3622131638063115,0.5737672810571336,-0.4196554327472444
2017,2016.4166666666667,6.5,1.2870285273997526,0.6784813704032753,0.27421648191800774,0.5255928477147117,0.4212519400132342,NA,1.1661215448371318,1.5371622154741011,1.219589715967949,-0.6725102839322267
2018,2017.4166666666667,6.5,0.6032948024258955,0.6666566136188409,0.23592161234903725,0.07225081132546111,0.45739869478485023,NA,0.6409024537714092,0.7378783786273798,0.2164388334984662,-0.16818234731876855
2019,2018.4166666666667,6.5,1.3872000253515797,0.6682217013980964,0.3761555005940129,-0.4094726771569734,0.8008863151084152,NA,1.516521633802686,0.5783370590433826,-0.9903356598111337,-0.13166244458449503
2020,2019.4166666666667,6.5,1.5764724790027578,0.660936462658222,0.6247121163972351,-0.15982938735044971,1.1790165062304183,NA,0.9764901026369773,0.6282485447623117,-0.3124790245025699,0.1660052926178371
2021,2020.4166666666667,6.375,NA,NA,0.2171022524836988,NA,NA,NA,0.21420066103432875,-0.015342117259821824,0.04225435128163269,0.0758252974565519
